sex,age,famsize,Pstatus,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,famrel,freetime,goout,health,absences,alc,grade
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,,,,,,
0.0,18.0,0.0,0.0,4.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,3.0,6.0,-0.7711842964420164,-1.6881121408535478
0.0,17.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,3.0,4.0,-0.7711842964420164,-1.789629911279259
0.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,3.0,10.0,0.5560155645475311,-0.9163504987125712
0.0,15.0,0.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,2.0,-0.7711842964420164,1.018470925899326
0.0,16.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,5.0,4.0,-0.3819244996301757,-0.8250980806694556
1.0,16.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,10.0,-0.3819244996301757,1.1199886963250374
1.0,16.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,3.0,0.0,-0.7711842964420164,0.1349261609500427
0.0,17.0,0.0,0.0,4.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,6.0,-0.7711842964420164,-1.6778467884709525
1.0,15.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,-0.7711842964420164,1.8814849860834182
